simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,9.100000000000000000e+01,7.865326633165828696e+01,5.326265594285374135e+07,1.173154722184651047e+08,2.998917176229500026e+07,1.400438740159306675e+07,5.793678814704007236e+05,1.391207630242898886e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,9.200000000000000000e+01,7.951758793969848682e+01,5.410801983085180819e+07,1.186202047366937101e+08,3.012347450033435598e+07,1.404654647335159592e+07,5.806626604130070191e+05,1.394124800437393715e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,9.300000000000000000e+01,8.038190954773868668e+01,5.495091957978396118e+07,1.199036317540413588e+08,3.025027831881511584e+07,1.408520618104024045e+07,5.818127726784074912e+05,1.396694633794665569e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,9.400000000000000000e+01,8.124623115577888655e+01,5.579108723945279419e+07,1.211652561864984334e+08,3.036955102273831889e+07,1.412035682522345893e+07,5.828179288804633543e+05,1.398916483212414023e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,9.500000000000000000e+01,8.211055276381908641e+01,5.662825584039012343e+07,1.224045901756052077e+08,3.048126233590789884e+07,1.415198958016926982e+07,5.836778757281901781e+05,1.400789788240366615e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,9.600000000000000000e+01,8.297487437185930048e+01,5.746215945867192745e+07,1.236211551282524318e+08,3.058538390434837714e+07,1.418009649607314169e+07,5.843923960898950463e+05,1.402314075222381507e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,9.700000000000000000e+01,8.383919597989950034e+01,5.829253328048653901e+07,1.248144817559427619e+08,3.068188929964075983e+07,1.420467050106369145e+07,5.849613090483045671e+05,1.403488957416925114e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,9.800000000000000000e+01,8.470351758793970021e+01,5.911911366644205898e+07,1.259841101134663522e+08,3.077075402213804796e+07,1.422570540298963152e+07,5.853844699466662714e+05,1.404314135095886595e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,9.900000000000000000e+01,8.556783919597990007e+01,5.994163821559807658e+07,1.271295896369447708e+08,3.085195550402544811e+07,1.424319589098754525e+07,5.856617704258153681e+05,1.404789395621712611e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.000000000000000000e+02,8.643216080402009993e+01,6.075984582920674980e+07,1.282504791811979562e+08,3.092547311219366267e+07,1.425713753683009930e+07,5.857931384521948639e+05,1.404914613502836728e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.010000000000000000e+02,8.729648241206029979e+01,6.157347677414772660e+07,1.293463470563892871e+08,3.099128815089646354e+07,1.426752679605427943e+07,5.857785383368248586e+05,1.404689750427390391e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.020000000000000000e+02,8.816080402010049966e+01,6.238227274604068696e+07,1.304167710639042556e+08,3.104938386416668817e+07,1.427436100886946730e+07,5.856179707452127477e+05,1.404114855275190494e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,1.030000000000000000e+02,8.902512562814069952e+01,6.318597693201947212e+07,1.314613385314190835e+08,3.109974543796706945e+07,1.427763840084502473e+07,5.853114726982043358e+05,1.403190064107996295e+05
